__source_file,agent0,agent1,deck0_name,deck1_name,end_reason,game_id,p0_approx_mana_spent,p0_battlefield_creatures,p0_creature_casts,p0_land_plays,p0_library_size,p0_life,p0_main_phase_actions,p0_main_phase_passes,p1_approx_mana_spent,p1_battlefield_creatures,p1_creature_casts,p1_land_plays,p1_library_size,p1_life,p1_main_phase_actions,p1_main_phase_passes,winner
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,56,,5,,,19,8,,,,4,,,16,-7,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,57,,6,,,19,-7,,,,7,,,15,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,58,,6,,,19,7,,,,5,,,16,-9,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,59,,3,,,19,-4,,,,6,,,15,16,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,60,,4,,,19,-1,,,,5,,,15,1,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,61,,6,,,18,11,,,,3,,,15,-6,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,62,,5,,,19,-16,,,,6,,,15,1,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,63,,7,,,20,20,,,,4,,,17,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,64,,5,,,18,-9,,,,5,,,14,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,65,,5,,,19,-4,,,,6,,,15,7,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,66,,5,,,19,-7,,,,6,,,15,6,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,67,,6,,,19,-7,,,,6,,,15,12,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,68,,4,,,19,8,,,,4,,,16,-1,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,69,,7,,,18,-14,,,,6,,,14,11,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,70,,6,,,19,10,,,,3,,,16,-6,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,71,,4,,,18,-10,,,,4,,,14,11,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,72,,5,,,17,11,,,,1,,,14,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,73,,6,,,19,-4,,,,4,,,15,2,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,74,,6,,,18,-13,,,,6,,,14,4,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,75,,5,,,19,-4,,,,6,,,15,10,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,76,,5,,,18,-10,,,,6,,,14,8,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,77,,5,,,19,11,,,,4,,,16,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,78,,5,,,20,20,,,,4,,,17,-3,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,79,,7,,,18,8,,,,2,,,15,-8,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,80,,5,,,19,7,,,,5,,,16,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,81,,4,,,17,2,,,,3,,,14,-2,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,82,,6,,,20,20,,,,2,,,17,-6,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,83,,6,,,19,11,,,,4,,,16,0,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,84,,6,,,18,-5,,,,4,,,14,3,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,85,,6,,,19,10,,,,3,,,16,0,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,86,,7,,,18,11,,,,4,,,15,-10,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,87,,6,,,18,2,,,,5,,,15,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,88,,5,,,19,0,,,,4,,,15,15,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,89,,5,,,19,8,,,,4,,,16,-5,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,90,,4,,,20,20,,,,3,,,17,-9,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,91,,7,,,19,7,,,,5,,,16,-6,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,92,,5,,,19,14,,,,2,,,16,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,93,,4,,,19,-7,,,,6,,,15,6,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,94,,5,,,19,-4,,,,5,,,15,8,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,95,,4,,,19,-1,,,,4,,,15,2,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,96,,6,,,19,11,,,,4,,,16,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,97,,4,,,18,5,,,,4,,,15,-4,,,0
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,98,,5,,,18,-11,,,,5,,,14,3,,,1
20251127_033449_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_red_creatures,mono_green_creatures,life,99,,5,,,19,17,,,,1,,,16,-4,,,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,0,12.0,5,5.0,4.0,32,18,23.0,14.0,5.0,2,2.0,4.0,31,-3,16.0,10.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,1,24.0,4,6.0,5.0,32,20,22.0,11.0,12.0,2,3.0,4.0,31,-4,16.0,9.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,2,25.0,5,8.0,2.0,33,20,19.0,9.0,1.0,1,1.0,3.0,32,-6,11.0,7.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,3,12.0,3,3.0,8.0,29,0,29.0,18.0,27.0,6,8.0,8.0,27,2,35.0,19.0,1
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,4,24.0,5,7.0,6.0,31,20,26.0,13.0,19.0,5,7.0,5.0,30,-13,25.0,13.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,5,14.0,4,4.0,5.0,32,20,22.0,13.0,4.0,3,4.0,4.0,31,-3,18.0,10.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,6,9.0,4,4.0,6.0,31,16,24.0,14.0,48.0,7,11.0,5.0,30,-1,26.0,10.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,7,17.0,4,6.0,4.0,32,18,21.0,11.0,5.0,2,2.0,4.0,31,-3,16.0,10.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,8,20.0,5,8.0,4.0,32,20,23.0,11.0,12.0,2,3.0,4.0,31,-9,16.0,9.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,9,36.0,4,7.0,5.0,32,20,22.0,10.0,1.0,1,1.0,4.0,31,-2,14.0,9.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,10,10.0,3,3.0,7.0,30,14,26.0,16.0,42.0,7,10.0,6.0,29,-2,29.0,13.0,0
20251127_170215_random_vs_heuristic.csv,RandomAgent,HeuristicAgent,mono_green_midrange,mono_white_control,life,11,27.0,5,6.0,4.0,33,20,21.0,11.0,4.0,3,4.0,3.0,32,-6,15.0,8.0,0
